timestamp,experiment,model_name,layer,target_class,concept,imbalance_class,imbalance_ratio,lambda_align,epochs,accuracy_before,accuracy_after,tcav_before,tcav_after,f1_before,f1_after
2025-12-17T05:04:08.444644,1,custom_cnn,features.17,zebra,stripes,zebra,0.05,0.5,20,0.9616252821670429,0.8984198645598194,0.9019607901573181,0.7450980544090271,0.9002504590532467,0.7183971283403244
2025-12-17T06:08:17.688962,2,custom_cnn,features.17,zebra,stripes,zebra,0.05,0.5,20,0.9616252821670429,0.9571106094808126,0.9019607901573181,0.7156863212585449,0.9002504590532467,0.9144320648429014
2025-12-17T07:30:40.684755,3,custom_cnn,multiple,multiple,"zebra:stripes,horse:horse_skin,deer:antlers",zebra,0.05,0.5,20,0.9616252821670429,0.945823927765237,0.003267973971863588,0.21568628152211508,0.9002504590532467,0.8974793511033149
